n_train,seed,model,fit_seconds,n_parameters,auc,balanced_accuracy,accuracy
30000,2,hyperdimensional,4.995576099987375,730000,0.5591605475758977,0.5416608037049213,0.541535
30000,3,majority class,0.0004489999992074445,1,0.5,0.5,0.85098
30000,3,logistic regression,0.02398440000251867,8,0.5431911579619608,0.5,0.85098
30000,3,gradient boosting,0.8104552000004333,11332,0.5992533416886887,0.5098375356661666,0.8502
30000,3,hyperdimensional,5.00574599999527,730000,0.5587762517246688,0.5408269572776647,0.550055
30000,4,majority class,0.0007806000066921115,1,0.5,0.5,0.85098
30000,4,logistic regression,0.030631800007540733,8,0.5436936305404985,0.5,0.85098
30000,4,gradient boosting,0.9219938999885926,11268,0.6030188115213351,0.5092547738284794,0.85048
30000,4,hyperdimensional,4.990050499996869,730000,0.5561829151006329,0.5390352763849373,0.539775
100000,0,majority class,0.0016844000056153163,1,0.5,0.5,0.85098
100000,0,logistic regression,0.06626769999274984,8,0.543021958090499,0.5,0.85098
100000,0,gradient boosting,0.8722989999951096,12066,0.6254312752471868,0.5106726406390782,0.85148
100000,0,hyperdimensional,16.47328469999775,730000,0.5611539261811055,0.5431727014608994,0.55254
100000,1,majority class,0.0010879000037675723,1,0.5,0.5,0.85098
100000,1,logistic regression,0.061184500009403564,8,0.5425131535527046,0.5,0.85098
100000,1,gradient boosting,0.7782086000079289,11824,0.6283089122879127,0.5081234221121848,0.851475
100000,1,hyperdimensional,16.121644799990463,730000,0.5600527258397172,0.5415220541721011,0.55145
100000,2,majority class,0.0008737000025575981,1,0.5,0.5,0.85098
100000,2,logistic regression,0.06676649999280926,8,0.5437371189705321,0.5,0.85098
100000,2,gradient boosting,0.7553806999931112,12144,0.6243019591062622,0.5112610470067149,0.85161
100000,2,hyperdimensional,16.126045700002578,730000,0.5579000968525006,0.5407477824543842,0.545775
100000,3,majority class,0.0034457000001566485,1,0.5,0.5,0.85098
100000,3,logistic regression,0.09342340000148397,8,0.5441148303253824,0.5,0.85098
100000,3,gradient boosting,3.545991500010132,12126,0.6259847332174506,0.5094947463904177,0.851595
100000,3,hyperdimensional,18.202592999994522,730000,0.5564912966371323,0.5396171159988503,0.54199
100000,4,majority class,0.000937399992835708,1,0.5,0.5,0.85098
100000,4,logistic regression,0.06561219999275636,8,0.5434821960532835,0.5,0.85098
100000,4,gradient boosting,1.1758784000121523,12052,0.6269186046503376,0.509095131333797,0.851645
100000,4,hyperdimensional,18.118063899994013,730000,0.5603525077085212,0.5423511960358374,0.54808
300000,0,majority class,0.002581100008683279,1,0.5,0.5,0.85098
300000,0,logistic regression,0.20741550000093412,8,0.5437208180049018,0.5,0.85098
300000,0,gradient boosting,2.19129950000206,12188,0.6386170265332871,0.5113555203356233,0.851865
300000,0,hyperdimensional,52.4082638000109,730000,0.5592951334004614,0.5416751937866175,0.54627
300000,1,majority class,0.003450400006840937,1,0.5,0.5,0.85098
300000,1,logistic regression,0.20442219999677036,8,0.5442189448158296,0.5,0.85098
300000,1,gradient boosting,3.2975128999969456,12120,0.6410218817513463,0.5101696631834381,0.85199
300000,1,hyperdimensional,55.602978700000676,730000,0.5605721512293125,0.542490821661529,0.549825
300000,2,majority class,0.0038770999963162467,1,0.5,0.5,0.85098
300000,2,logistic regression,0.23333179998735432,8,0.543897802367636,0.5,0.85098
300000,2,gradient boosting,3.480114899997716,12114,0.6394082942358555,0.510297224986633,0.85216
300000,2,hyperdimensional,53.46358909999253,730000,0.5596286818086804,0.542236771682902,0.54553
300000,3,majority class,0.003755600002477877,1,0.5,0.5,0.85098
300000,3,logistic regression,0.21791649999795482,8,0.5447901723506988,0.5,0.85098
300000,3,gradient boosting,4.781511499997578,12200,0.639444689053885,0.5106154324054227,0.851995
