fast,slow,dev_return,holdout_return,dev_excess,holdout_excess,dev_trades,dev_exposure
4,15,9.755397066781764,0.8796090396888576,0.08558414065514008,0.26076385108421984,176.0,0.5330756013745704
4,20,8.757387871155645,0.39905510831355073,-0.015148816786838326,-0.061571811482441396,138.0,0.538659793814433
4,25,16.549173843175016,0.4283477787286367,0.771306506627309,-0.0419235020833878,116.0,0.5292096219931272
4,30,10.390562183854284,0.31436820325982895,0.14969383121420865,-0.11837627788871508,120.0,0.5244845360824743
4,35,16.488486586686793,0.6707804963156963,0.7651811053265092,0.12069031823770948,101.0,0.5150343642611683
4,40,15.931785939717063,0.7834331208778345,0.7089911395176849,0.19625303036491704,85.0,0.5124570446735395
4,45,20.881052180447696,0.7648801192568866,1.2085398689096651,0.18380844573115196,83.0,0.5081615120274914
4,50,27.15544011373152,0.4745329194576009,1.8418382948439298,-0.010944423637396561,69.0,0.5030068728522337
4,55,19.483208937515915,0.35503094360583654,1.0674501028855499,-0.09110139676622553,65.0,0.49699312714776633
4,60,12.439248770279525,0.245717043537925,0.35647575228945083,-0.16442463086254044,63.0,0.4948453608247423
4,65,13.854965472933328,0.09493150579940801,0.4993695562577152,-0.2655653208852309,63.0,0.49226804123711343
4,70,14.58785460337962,0.1747848240463139,0.5733429123254605,-0.2120030242006563,57.0,0.4879725085910653
4,75,12.759426238855692,0.15777310546392975,0.3887925119519,-0.2234137800443492,65.0,0.49183848797250856
4,80,11.160108187700322,0.14802683790028137,0.22736710836917018,-0.22995117243169194,57.0,0.49226804123711343
4,85,8.956760172742197,0.048031365662078995,0.004974606583251662,-0.29702399130411583,51.0,0.49097938144329895
4,90,9.608838835566328,0.09802569112181492,0.0707914472285689,-0.26348986959686527,53.0,0.4944158075601375
4,95,17.71934860310392,0.1782194837707365,0.8894168054183385,-0.20969919679299298,39.0,0.49355670103092786
4,100,13.310860031683742,0.27474828438196486,0.444450873646822,-0.14495167758586114,37.0,0.4952749140893471
4,105,12.319612029783306,0.3084786831219428,0.3444003498365287,-0.12232672393004096,33.0,0.49355670103092786
4,110,9.806522550983484,0.17597846700553577,0.0907444350160167,-0.21120237796927976,27.0,0.48582474226804123
4,115,7.348591627119255,0.09582693553342492,-0.1573441118972263,-0.2649647037270897,27.0,0.48109965635738833
4,120,7.5757505030462955,0.05669211991331835,-0.13441608129228722,-0.2912147162620602,31.0,0.47766323024054985
4,125,5.434066972970794,0.06565606085031406,-0.3505845463072159,-0.2852020761555363,29.0,0.4725085910652921
4,130,7.055287666797886,0.05321190008770493,-0.186948423643152,-0.2935491034975495,27.0,0.47164948453608246
4,135,6.356102703682098,0.11235530824157958,-0.2575198867541987,-0.25387815626552934,25.0,0.4699312714776632
