model,arm,seed,fold,n_train,n_test,mae,r2,mdape_uf_m2,fit_seconds,predict_seconds,peak_memory_mb,flops_estimate,energy_joules,started_at,notes
random_forest,full,2,4,643490,162350,0.04009734943117948,0.894617876990788,4.800113961377976,80.79656199994497,0.8762657000916079,2227.023872,,,2026-08-09T15:39:58,
lightgbm,full,2,4,643490,162350,0.04679025397263651,0.8947302193312421,7.239258411930778,1.6908938999986276,0.5575992999365553,80.07679999999999,,,2026-08-09T15:41:20,
catboost,full,2,4,643490,162350,0.04230838381969134,0.9061272376416512,6.325737207213549,183.84823669993784,0.2299681999720633,641.028096,,,2026-08-09T15:41:22,
mlp,full,2,4,643490,162350,0.048162733645803084,0.8940514587598019,7.496565540587766,38.70788840006571,0.16579900006763637,326.705152,54053160000.0,,2026-08-09T15:44:27,
ridge,full,3,0,645075,160765,0.07842154144324807,0.7245474215152357,13.587756852977684,1.113169900025241,0.11629090004134923,332.750848,52251318.0,,2026-08-09T15:45:49,
random_forest,full,3,0,645075,160765,0.039484200677382154,0.8895206613580723,4.645093811957998,71.79989290004596,0.9118595999898389,2260.021248,,,2026-08-09T15:45:50,
lightgbm,full,3,0,645075,160765,0.048864621826044424,0.8846222484227444,7.845263157495705,2.325853299931623,0.43504250003024936,81.227776,,,2026-08-09T15:47:03,
catboost,full,3,0,645075,160765,0.04282201131856837,0.9046733692257702,6.738526854009698,191.10587130009662,0.19221309991553426,657.4448639999999,,,2026-08-09T15:47:06,
mlp,full,3,0,645075,160765,0.050854679722357035,0.8717117419920586,8.072905070713585,40.97084730002098,0.1648698999779299,319.71328000000005,54186300000.0,,2026-08-09T15:50:17,
ridge,full,3,1,642799,163041,0.07827238554941492,0.733819158913301,13.158065362332168,1.1647935999790207,0.115610699984245,331.239424,52066962.0,,2026-08-09T15:51:40,
random_forest,full,3,1,642799,163041,0.04067482470505567,0.8886900986350647,4.718990077644867,65.10427389992401,0.9225559000624344,2234.310656,,,2026-08-09T15:51:41,
lightgbm,full,3,1,642799,163041,0.04905712934265087,0.8842450449329972,7.613815433172712,1.5544989000773057,0.4442269999999553,82.702336,,,2026-08-09T15:52:47,
catboost,full,3,1,642799,163041,0.04409916073914704,0.896543355711082,6.413969822017967,169.5027817999944,0.18636930000502616,663.42912,,,2026-08-09T15:52:49,
