model,arm,seed,fold,n_train,n_test,mae,r2,mdape_uf_m2,fit_seconds,predict_seconds,peak_memory_mb,flops_estimate,energy_joules,started_at,notes
random_forest,regime_limited,0,2,4372,1435,0.046826044758046324,0.9307388001167536,10.570490209213727,0.29167469998355955,0.048748199944384396,13.873152000000118,,,2026-08-08T21:33:30,subsampled to TabPFN's documented limit
lightgbm,regime_limited,0,2,4372,1435,0.06049655078195435,0.9111373424615309,11.946802472735376,0.1586638999870047,0.009634999907575548,0.08192000000008193,,,2026-08-08T21:33:31,subsampled to TabPFN's documented limit
catboost,regime_limited,0,2,4372,1435,0.05524789761950734,0.925567352060943,10.310037865503405,28.482172599993646,0.008770600077696145,2.883583999999928,,,2026-08-08T21:33:31,subsampled to TabPFN's documented limit
mlp,regime_limited,0,2,4372,1435,0.05877413484676022,0.915537855319001,14.317325362333799,0.5540667000459507,0.008955999976024032,0.02867200000014236,865656000.0,,2026-08-08T21:33:59,subsampled to TabPFN's documented limit
tabpfn,regime_limited,0,2,4372,1435,0.06547817513214914,0.88591330214043,10.411852177296057,1.1500857000937685,137.3510369999567,136.57702399999994,,,2026-08-08T21:34:00,subsampled to TabPFN's documented limit
ridge,regime_limited,0,3,4800,1007,0.07057571633235511,0.7980298906831809,12.282961777502273,0.01961319998372346,0.00663760001771152,0.02048000000013417,480333.3333333333,,2026-08-08T21:36:18,subsampled to TabPFN's documented limit
random_forest,regime_limited,0,3,4800,1007,0.051746200425956214,0.8826178720881971,6.806505398558086,0.24863140005618334,0.045897700008936226,8.626175999999987,,,2026-08-08T21:36:18,subsampled to TabPFN's documented limit
lightgbm,regime_limited,0,3,4800,1007,0.04479933359302263,0.9024426452560261,10.246765265950811,0.14893739996477962,0.007036500028334558,0.03276800000003277,,,2026-08-08T21:36:19,subsampled to TabPFN's documented limit
catboost,regime_limited,0,3,4800,1007,0.047789406738387295,0.9069095454999582,9.580543744998533,23.175359399989247,0.0029586999444290996,2.90816000000018,,,2026-08-08T21:36:19,subsampled to TabPFN's documented limit
mlp,regime_limited,0,3,4800,1007,0.06924116221893765,0.8121141719088524,10.541363860517102,0.4693414999637753,0.009753799997270107,0.040960000000040964,918720000.0,,2026-08-08T21:36:42,subsampled to TabPFN's documented limit
tabpfn,regime_limited,0,3,4800,1007,0.03505097857552961,0.9330632680548313,5.135199734864126,0.866529899998568,123.96364760003053,417.0792959999999,,,2026-08-08T21:36:42,subsampled to TabPFN's documented limit
ridge,regime_limited,0,4,4967,840,0.12380087520956613,0.6062845808990953,17.169747177826828,0.025813399930484593,0.00768370006699115,0.02048000000013417,497033.3333333333,,2026-08-08T21:38:47,subsampled to TabPFN's documented limit
random_forest,regime_limited,0,4,4967,840,0.09260611722777928,0.8395877510478998,21.829794282019865,0.4188748999731615,0.07094969996251166,1.957888000000139,,,2026-08-08T21:38:47,subsampled to TabPFN's documented limit
lightgbm,regime_limited,0,4,4967,840,0.10016031780556703,0.8201632296848986,23.31660326166681,0.0908374999416992,0.004911900032311678,1.0772480000000542,,,2026-08-08T21:38:48,subsampled to TabPFN's documented limit
catboost,regime_limited,0,4,4967,840,0.09166284095406756,0.8144146010142621,13.587276167506591,29.811888299998827,0.002696300041861832,3.0269439999999577,,,2026-08-08T21:38:48,subsampled to TabPFN's documented limit
